seed,noise,n_items,method,kendall_tau,tau_to_score_sum,tau_to_borda,weighted_agreement_original,unweighted_agreement_original,weighted_agreement_repaired_dag,unweighted_agreement_repaired_dag,removed_edges,removed_weight,topo_incomparable_ratio,topo_mean_available_sources,topo_max_available_sources,topo_mean_log2_choices,topo_multi_source_step_ratio
123,0.25,20,greedy_fas_topological,0.189474,0.421053,0.231579,0.739352,0.657895,1.0,1.0,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,priority_topological_score_sum,0.168421,0.442105,0.252632,0.738356,0.657895,1.0,1.0,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,score_sum,0.621053,1.0,0.705263,0.730453,0.694737,0.760073,0.801724,74,16.056201,0.042105,1.2,2.0,0.2,0.2
123,0.25,20,score_sum_repaired_dag,0.431579,0.768421,0.473684,0.688635,0.631579,0.786513,0.836207,74,16.056201,0.042105,1.2,2.0,0.2,0.2
456,0.25,20,borda,0.736842,0.621053,1.0,0.719683,0.726316,0.789999,0.805825,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,borda_repaired_dag,0.305263,0.378947,0.484211,0.667671,0.636842,0.844446,0.834951,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,fas_copeland,0.536842,0.484211,0.547368,0.674322,0.647368,0.856612,0.883495,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,fas_weighted_balance,0.589474,0.494737,0.621053,0.666601,0.642105,0.821729,0.834951,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,greedy_fas_topological,0.294737,0.305263,0.326316,0.72865,0.652632,1.0,1.0,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,priority_topological_score_sum,0.326316,0.357895,0.378947,0.742179,0.668421,1.0,1.0,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,score_sum,0.589474,1.0,0.621053,0.696996,0.673684,0.772954,0.737864,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
456,0.25,20,score_sum_repaired_dag,0.431579,0.610526,0.505263,0.637053,0.626316,0.804295,0.825243,87,21.299979,0.073684,1.6,3.0,0.537744,0.45
789,0.25,20,borda,0.747368,0.747368,1.0,0.79051,0.752632,0.853965,0.827586,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,borda_repaired_dag,0.347368,0.536842,0.389474,0.722162,0.636842,0.901736,0.885057,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,fas_copeland,0.505263,0.631579,0.589474,0.717147,0.631579,0.855791,0.83908,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,fas_weighted_balance,0.652632,0.715789,0.736842,0.74854,0.684211,0.855791,0.83908,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,greedy_fas_topological,0.231579,0.442105,0.336842,0.738619,0.642105,1.0,1.0,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,priority_topological_score_sum,0.273684,0.505263,0.378947,0.760855,0.663158,1.0,1.0,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,score_sum,0.684211,1.0,0.747368,0.749229,0.678947,0.851416,0.827586,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
789,0.25,20,score_sum_repaired_dag,0.389474,0.621053,0.431579,0.693809,0.615789,0.826697,0.816092,103,14.403198,0.152632,1.65,3.0,0.608496,0.55
1234,0.25,20,borda,0.705263,0.642105,1.0,0.713555,0.726316,0.726514,0.736842,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,borda_repaired_dag,0.315789,0.568421,0.315789,0.646032,0.552632,0.851542,0.873684,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,fas_copeland,0.410526,0.557895,0.368421,0.637071,0.568421,0.81376,0.873684,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,fas_weighted_balance,0.452632,0.6,0.410526,0.669302,0.6,0.83502,0.873684,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,greedy_fas_topological,0.147368,0.357895,0.105263,0.704819,0.594737,1.0,1.0,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,priority_topological_score_sum,0.178947,0.389474,0.136842,0.711209,0.6,1.0,1.0,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,score_sum,0.684211,1.0,0.642105,0.724843,0.673684,0.776224,0.8,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
1234,0.25,20,score_sum_repaired_dag,0.305263,0.6,0.284211,0.661979,0.568421,0.855676,0.873684,95,25.600074,0.089474,1.45,3.0,0.408496,0.35
42,0.3,20,borda,0.578947,0.589474,1.0,0.708215,0.678947,0.8049,0.8,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,borda_repaired_dag,0.505263,0.578947,0.568421,0.694988,0.652632,0.88101,0.916667,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,fas_copeland,0.568421,0.621053,0.547368,0.675865,0.631579,0.890422,0.916667,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,fas_weighted_balance,0.642105,0.673684,0.515789,0.664073,0.605263,0.858415,0.85,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,greedy_fas_topological,0.410526,0.484211,0.389474,0.753063,0.678947,1.0,1.0,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,priority_topological_score_sum,0.410526,0.505263,0.389474,0.750681,0.668421,1.0,1.0,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,score_sum,0.526316,1.0,0.589474,0.677955,0.6,0.809192,0.766667,70,16.760696,0.015789,1.15,2.0,0.15,0.15
42,0.3,20,score_sum_repaired_dag,0.547368,0.726316,0.505263,0.691537,0.642105,0.870664,0.883333,70,16.760696,0.015789,1.15,2.0,0.15,0.15
123,0.3,20,borda,0.526316,0.589474,1.0,0.675213,0.668421,0.642742,0.669811,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,borda_repaired_dag,0.2,0.431579,0.294737,0.575724,0.547368,0.76554,0.849057,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,fas_copeland,0.2,0.473684,0.357895,0.640677,0.610526,0.833028,0.896226,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,fas_weighted_balance,0.252632,0.547368,0.347368,0.647643,0.615789,0.818367,0.90566,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,greedy_fas_topological,0.052632,0.305263,0.126316,0.669614,0.621053,1.0,1.0,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,priority_topological_score_sum,0.063158,0.336842,0.157895,0.681375,0.626316,1.0,1.0,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,score_sum,0.494737,1.0,0.589474,0.684045,0.663158,0.692765,0.745283,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
123,0.3,20,score_sum_repaired_dag,0.242105,0.621053,0.336842,0.649868,0.568421,0.755864,0.811321,84,20.078321,0.063158,1.4,3.0,0.379248,0.35
456,0.3,20,borda,0.589474,0.6,1.0,0.663268,0.678947,0.743633,0.75,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,borda_repaired_dag,0.294737,0.263158,0.431579,0.640707,0.626316,0.832376,0.84,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,fas_copeland,0.442105,0.347368,0.494737,0.644271,0.615789,0.859382,0.88,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,fas_weighted_balance,0.568421,0.410526,0.515789,0.618631,0.615789,0.814531,0.84,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,greedy_fas_topological,0.294737,0.2,0.305263,0.698984,0.636842,1.0,1.0,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,priority_topological_score_sum,0.305263,0.273684,0.357895,0.700117,0.652632,1.0,1.0,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,score_sum,0.442105,1.0,0.6,0.675236,0.668421,0.712119,0.7,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
456,0.3,20,score_sum_repaired_dag,0.4,0.494737,0.473684,0.583938,0.594737,0.753165,0.78,90,23.635269,0.073684,1.6,3.0,0.537744,0.45
789,0.3,20,borda,0.684211,0.715789,1.0,0.739811,0.7,0.81554,0.782051,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,borda_repaired_dag,0.305263,0.589474,0.410526,0.714692,0.636842,0.922505,0.910256,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,fas_copeland,0.494737,0.673684,0.621053,0.695988,0.626316,0.840337,0.846154,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,fas_weighted_balance,0.578947,0.736842,0.705263,0.709151,0.647368,0.832346,0.833333,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,greedy_fas_topological,0.178947,0.378947,0.347368,0.701585,0.615789,1.0,1.0,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,priority_topological_score_sum,0.252632,0.494737,0.421053,0.729473,0.652632,1.0,1.0,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,score_sum,0.610526,1.0,0.715789,0.726309,0.663158,0.807683,0.782051,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
789,0.3,20,score_sum_repaired_dag,0.315789,0.642105,0.421053,0.656536,0.589474,0.841022,0.833333,112,15.952963,0.178947,1.75,3.0,0.666993,0.55
1234,0.3,20,borda,0.631579,0.505263,1.0,0.660933,0.663158,0.682069,0.680851,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,borda_repaired_dag,0.305263,0.578947,0.315789,0.622818,0.552632,0.844919,0.87234,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,fas_copeland,0.336842,0.547368,0.305263,0.603624,0.547368,0.829409,0.882979,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,fas_weighted_balance,0.347368,0.557895,0.294737,0.612983,0.552632,0.836447,0.882979,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,greedy_fas_topological,0.136842,0.410526,0.105263,0.692917,0.594737,1.0,1.0,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,priority_topological_score_sum,0.157895,0.473684,0.126316,0.686538,0.584211,1.0,1.0,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,score_sum,0.536842,1.0,0.505263,0.668516,0.615789,0.765878,0.797872,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
1234,0.3,20,score_sum_repaired_dag,0.336842,0.715789,0.263158,0.649229,0.578947,0.837083,0.87234,96,26.652619,0.089474,1.45,3.0,0.408496,0.35
